FAIL,DIMENSIOON,SKOORID,VASTAJAID,STD,KESKMINE SKOOR
www_advent_ee.ela_658698.txt,spont,0.0 | 0.0 | 1.0 | 1.0 | 0.0 | 0.0 | 2.0 | 0.0 | 1.0 | 0.0,4,0.5,1.25
www_auto24_ee.ela_469677.txt,form,1.0 | 1.0 | 0.5 | 0.5 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,5,0.27,0.8
www_auto24_ee.ela_469677.txt,spont,3.0 | 2.0 | 3.0 | 3.0 | 3.0 | 1.0 | 2.0 | 2.0 | 2.0 | 2.0,10,0.67,2.3
www_tuuleenergia_ee.ela_40373.txt,form,0.0 | 1.0 | 0.0 | 0.0 | 1.0 | 1.0 | 0.0 | 0.0 | 2.0 | 0.0,4,0.5,1.25
www_tuuleenergia_ee.ela_40373.txt,spont,0.5 | 1.0 | 1.0 | 1.0 | 1.0 | 0.0 | 0.0 | 0.0 | 1.0 | 1.0,7,0.19,0.93
www_bsd_ee.ela_638246.txt,form,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 3.0 | 1.0 | 2.0 | 1.0,10,0.67,1.3
www_bsd_ee.ela_638246.txt,spont,0.0 | 0.0 | 1.0 | 0.0 | 0.5 | 1.0 | 0.0 | 0.0 | 0.0 | 1.0,4,0.25,0.88
www_le_ee.ela_240831.txt,form,2.0 | 2.0 | 2.0 | 2.0 | 1.0 | 1.0 | 1.0 | 2.0 | 3.0 | 0.0,9,0.67,1.78
www_le_ee.ela_240831.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,0,nan,nan
www_xn--eestimngula-q8a_ee.ela_40079.txt,form,0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 1.0 | 1.0 | 1.0 | 0.5 | 1.0,6,0.2,0.92
www_xn--eestimngula-q8a_ee.ela_40079.txt,spont,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0,10,0.0,1.0
www_vorumaateataja_ee.ela_241120.txt,form,0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.0 | 0.0,2,0.35,0.75
